make,policies,claims_count,claim_freq,total_premium,total_claims,loss_ratio,z_freq_vs_rest,p_freq_vs_rest,mw_stat_severity_vs_rest,p_severity_vs_rest
TOYOTA,2817,1091,0.387291444799432,21634438.861687347,24533510.156140354,1.134002610975365,11.042609834213852,2.380176777150058e-28,91937.0,0.6565332121520162
MERCEDES-BENZ,158,43,0.2721518987341772,1205992.3902584303,620301.7622807017,0.5143496487136027,-1.8165909424885367,0.06927977135610316,22555.5,0.13128618032468928
CMC,104,15,0.14423076923076922,387136.4400985038,555351.5850877189,1.4345112667420667,-4.257932239828558,2.0632646285450685e-05,11582.5,0.10297414011008067
VOLKSWAGEN,104,34,0.3269230769230769,663412.644486186,937904.8508771932,1.4137578755430593,-0.2659222309005151,0.7902991035514917,20406.5,0.8602072792010769
NISSAN/DATSUN                      ,90,5,0.05555555555555555,412421.0817774532,97353.95614035089,0.23605475190738218,-5.752324092304387,8.802484179814165e-09,,
C.A.M,84,13,0.15476190476190477,216593.02126542036,199192.20175438587,0.9196612180329164,-3.609853703776668,0.00030636974927921877,8860.5,0.5481302772337373
JINBEI,65,12,0.18461538461538463,260340.47041159912,173189.4736842106,0.6652422245776751,-2.654219219525576,0.007949216508835646,7104.5,0.7738057283427717
IVECO,38,13,0.34210526315789475,179992.0964082847,49467.72368421051,0.2748327547227435,0.039428730169979644,0.9685485743505642,4819.5,0.012139682878230043
GOLDEN JOURNEY,28,6,0.21428571428571427,117946.02924147683,201261.92982456132,1.7063900422837266,-1.4003503355929605,0.16140843447209618,,
AUDI,27,8,0.2962962962962963,128355.46440697127,234925.5049122807,1.8302727195736077,-0.47146562625533656,0.6373082608760827,,
BMW,22,5,0.22727272727272727,114879.30082569279,97071.57140350877,0.8449874843057775,-1.1112082091827875,0.2664787385132591,,
FOTON,21,1,0.047619047619047616,73858.93567996564,12147.2631578947,0.1644657216633798,-2.829529907403283,0.004661644284789185,,
MERCEDES-BENZ                      ,21,2,0.09523809523809523,114487.3800513715,225227.1403508775,1.967266088627551,-2.367260201289056,0.017920328843437857,,
B.A.W,18,4,0.2222222222222222,96764.24029385255,252760.28070175412,2.612124891738669,-1.0499533134629198,0.29373957808007456,,
TOYOTA                             ,14,1,0.07142857142857142,50611.7141153285,4500.0,0.088912222766174,-2.1195673831091004,0.034042545569832446,,
HYUNDAI,12,0,0.0,14077.132691944838,0.0,0.0,-2.485331812181673,0.012943073102395791,,
NISSAN,12,0,0.0,33546.15402376889,0.0,0.0,-2.485331812181673,0.012943073102395791,,
POLARSUN,9,0,0.0,22389.401159147747,0.0,0.0,-2.151486549426533,0.03143781634956628,,
CITROEN                            ,8,0,0.0,14324.595059422703,0.0,0.0,-2.02816654277311,0.042543253331477814,,
CHEVROLET,8,0,0.0,7769.124772495715,0.0,0.0,-2.02816654277311,0.042543253331477814,,
