Model,policies,claims_count,claim_freq,total_premium,total_claims,loss_ratio,z_freq_vs_rest,p_freq_vs_rest,mw_stat_severity_vs_rest,p_severity_vs_rest
QUANTUM 2.7 SESFIKILE 16s,870,258,0.296551724137931,6049386.422958417,5992797.586315789,0.9906455245728949,2.061341689286311,0.03927045359258566,122015.5,0.19480019280896654
QUANTUM 2.7 SESFIKILE 15s,754,270,0.35809018567639256,4835343.446550119,5540706.511228071,1.1458765178678691,6.053182507096441,1.4201181649177516e-09,125554.5,0.1520825864299457
QUANTUM 2.7 SESFIKILE 14s,619,226,0.3651050080775444,3583353.356315206,5326231.927017544,1.4863819995956402,5.815286886624226,6.052998441852497e-09,123335.0,0.15917016217299362
QUANTUM 2.5 D-4D SESFIKILE 16s,507,106,0.20907297830374755,3087616.809775875,3501797.4238596503,1.1341424922847987,-3.202928589555902,0.0013603770919857756,64887.5,0.2700472000388402
HiACE SUPER 16 F/Lift,336,81,0.24107142857142858,1605293.0112919493,1702629.2894736845,1.060634586643717,-1.1819562192328465,0.23722307298711431,54630.0,0.02556941601915922
HiACE SIYAYA,215,54,0.25116279069767444,908160.8979469459,885823.1403508771,0.9754033039227221,-0.5907783530109235,0.554668940954198,32245.0,0.9361990439685572
QUANTUM 2.5 D-4D 14 SEAT,127,27,0.2125984251968504,532512.3195193877,460597.43491228065,0.864951697883698,-1.4437493260551106,0.14880950086539182,15985.0,0.7448834372105468
NV350 2.5 16 SEAT IMPENDULO,86,3,0.03488372093023256,387515.8797683984,54900.71052631583,0.1416734471865453,-4.9356711747564,7.987558807394449e-07,,
AMANDLA 2.2,76,8,0.10526315789473684,278754.566862794,385066.21929824527,1.3813808456375138,-3.239149012513056,0.0011988692073538055,,
INYATHI,73,12,0.1643835616438356,195649.8417215608,198342.20175438587,1.013761115312614,-2.024904648848132,0.042877156163454326,8716.0,0.31639250601659363
HAISE 2.2i,65,12,0.18461538461538463,260340.47041159912,173189.4736842106,0.6652422245776751,-1.5384802671417448,0.1239312297043912,7104.5,0.7738057283427717
QUANTUM 2.5 D-4D SESFIKILE 15s,62,21,0.3387096774193548,326703.7842216888,358064.915789474,1.0959925568125795,1.2537297311434064,0.2099402576025683,12612.5,0.8295245908780253
QUANTUM 2.7 14 SEAT,57,2,0.03508771929824561,127235.00424231232,99934.93859649127,0.7854358884302819,-4.002096474622386,6.278368701308906e-05,,
SPRINTER 416 CDI HI-ROOF F/C P/V,50,11,0.22,333035.4655795859,255792.27192982432,0.7680631595336722,-0.7796017174346737,0.43562534470808734,6372.5,0.6916649621022943
SPRINTER 515 CDi HI-ROOF F/C P/V,43,8,0.18604651162790697,279456.8900669205,34699.19999999998,0.1241665574668447,-1.2270777707237517,0.21979336191478005,,
50 C15V 15 F/C P/V,32,10,0.3125,142007.13172671536,44049.35526315789,0.3101911483426647,0.5621360374149474,0.5740233367299603,3846.0,0.03674606461981828
AVANZA 1.5 SX,30,10,0.3333333333333333,117895.21613203661,176915.38210526324,1.5006154440323267,0.8024444856368228,0.4222958888371051,6925.5,0.5425223232346026
AVANZA 1.3 SX,27,2,0.07407407407407407,65767.62132549085,6700.42105263158,0.1018802401180133,-2.2871575708693914,0.022186627548032155,,
QUANTUM 2.7 10 SEAT,23,3,0.13043478260869565,99925.0798795506,30323.1315789474,0.30345866738859567,-1.4987104781521483,0.13394875724771116,,
CRAFTER 50 HR 80 F/C P/V,19,7,0.3684210526315789,169468.1259402936,87133.0087719298,0.5141557345280858,0.9836150010525556,0.3253048465224718,,
